Nikita Popov
Florian Hahn
Johannes Doerfert
Ramkumar Ramachandra
Piotr Fusik
Matt Arsenault
Arthur Eubanks
Mircea Trofin
Kazu Hirata
Yingwei Zheng
Justin Bogner
Diego Novillo
Quentin Colombet
David Sherwood
Alina Sbirlea
Madhur Amilkanthwar
Vasileios Porpodas
Jorge Gorbe Moya
Philip Reames
Alexey Bataev
Chandler Carruth
Hongyu Chen
Usman Nadeem
Vitaly Buka
Alexander Shaposhnikov
Christopher Apple
David Trevelyan
Simon Pilgrim
Craig Topper
Matthias Braun
Sergei Larin
Fangrui Song
Reid Kleckner
David Green
Amara Emerson
Eli Friedman
Sjoerd Meijer
Nashe Mncube
Sander de Smalen
Peter Smith
Oliver Stannard
Ties Stuij
Mark Schimmel
Ben Shi
Yonghong Song
Eduard Zingerman
Zi Xuan Wu
Brian Cain
Ikhlas Ajbar
Ankit Aggarwal
Jacques Pienaar
Weining Lu
Min-Yih Hsu
Anton Korobeynikov
Justin Holewinski
Artem Belevich
Alex MacLean
Amy Kwan
Lei Huang
Sean Fertile
Zhijian Lin
Maryam Moghadas
Roland Froese
Alex Bradbury
Koakuma
Vyacheslav Levytskyy
Nathan Gauër
Ulrich Weigand
Kazushi Marukawa
Derek Schuff
Heejin Ahn
Phoebe Wang
Nigel Perks
Andrei Safronov
David Blaikie
Jakub Kuderski
Peter Collingbourne
Petr Hosek
Adrian Prantl
Jeremy Morse
Jonas Devlieghere
Eric Christopher
Teresa Johnson
Takumi Nakamura
Lang Hames
Rahul Joshi
Cyndy Ishida
Andrea Di Biagio
Alan Phipps
James Henderson
Aiden Grossman
Tobias Hieta
Tom Stellard
Martin Storsjö
Galina Kistanova
Chris Lattner
Paul C. Anagnostopoulos
Owen Anderson
Evan Cheng
Jake Ehrlich
Hal Finkel
Justin Fargnoli
Renato Golin
Venkatraman Govindaraju
James Grosbach
Benjamin Kramer
David Majnemer
Tim Northover
Chad Rosier
Hans Wennborg
Kostya Serebryany
Michael Spencer
Alexei Starovoitov
Evgeniy Stepanov
Zheng Chen
Dan Gohman
Sundeep Kushwaha
Duncan Sands
